train_indices,validation_indices
0,5.0
1,13.0
2,14.0
3,23.0
4,38.0
6,40.0
7,50.0
8,60.0
9,72.0
10,75.0
11,82.0
12,84.0
15,89.0
16,91.0
17,105.0
18,106.0
19,115.0
20,117.0
21,
22,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
39,
41,
42,
43,
44,
45,
46,
47,
48,
49,
51,
52,
53,
54,
55,
56,
57,
58,
59,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
73,
74,
76,
77,
78,
79,
80,
81,
83,
85,
86,
87,
88,
90,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
107,
108,
109,
110,
111,
112,
113,
114,
116,
