train_indices,validation_indices
0,6.0
1,9.0
2,14.0
3,21.0
4,22.0
5,27.0
7,29.0
8,33.0
10,38.0
11,40.0
12,72.0
13,81.0
15,85.0
16,90.0
17,94.0
18,105.0
19,110.0
20,117.0
23,
24,
25,
26,
28,
30,
31,
32,
34,
35,
36,
37,
39,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
73,
74,
75,
76,
77,
78,
79,
80,
82,
83,
84,
86,
87,
88,
89,
91,
92,
93,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
106,
107,
108,
109,
111,
112,
113,
114,
115,
116,
